"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
0,-0.000108024104016064
1E-09,-0.0001080241040151
1.12201845430196E-09,-0.0001080241040151
1.25892541179417E-09,-0.000108024104016064
1.41253754462275E-09,-0.000108024104014135
1.58489319246111E-09,-0.000108024104014135
1.77827941003892E-09,-0.000108024104013171
1.99526231496888E-09,-0.000108024104016064
2.23872113856834E-09,-0.0001080241040151
2.51188643150958E-09,-0.000108024104016064
2.81838293126445E-09,-0.0001080241040151
3.16227766016838E-09,-0.0001080241040151
3.54813389233575E-09,-0.0001080241040151
3.98107170553497E-09,-0.000108024104016064
4.46683592150963E-09,-0.0001080241040151
5.01187233627272E-09,-0.000108024104017993
5.62341325190349E-09,-0.000108024104016064
6.30957344480193E-09,-0.000108024104017028
7.07945784384138E-09,-0.000108024104017028
7.94328234724282E-09,-0.000108024104016064
8.91250938133745E-09,-0.000108024104017028
1E-08,-0.000108024104018957
1.12201845430196E-08,-0.000108024104019921
1.25892541179417E-08,-0.000108024104019921
1.41253754462275E-08,-0.000108024104020886
1.58489319246111E-08,-0.000108024104024743
1.77827941003892E-08,-0.000108024104024743
1.99526231496888E-08,-0.000108024104027636
2.23872113856834E-08,-0.000108024104033422
2.51188643150958E-08,-0.000108024104036315
2.81838293126445E-08,-0.000108024104041137
3.16227766016838E-08,-0.00010802410405078
3.54813389233575E-08,-0.000108024104058495
3.98107170553497E-08,-0.000108024104071996
4.46683592150963E-08,-0.000108024104082603
5.01187233627272E-08,-0.00010802410410189
5.62341325190349E-08,-0.00010802410412407
6.30957344480193E-08,-0.000108024104151072
7.07945784384138E-08,-0.000108024104186752
7.94328234724281E-08,-0.000108024104234005
8.91250938133746E-08,-0.000108024104287043
1E-07,-0.000108024104358404
1.12201845430196E-07,-0.000108024104450017
1.25892541179417E-07,-0.000108024104559951
1.41253754462275E-07,-0.000108024104701709
1.58489319246111E-07,-0.000108024104876255
1.77827941003892E-07,-0.00010802410510191
1.99526231496888E-07,-0.000108024105383497
2.23872113856834E-07,-0.00010802410573741
2.51188643150958E-07,-0.000108024106182935
2.81838293126445E-07,-0.000108024106742252
3.16227766016838E-07,-0.000108024107450077
3.54813389233575E-07,-0.000108024108341126
3.98107170553497E-07,-0.000108024109460725
4.46683592150963E-07,-0.000108024110869625
5.01187233627272E-07,-0.000108024112644973
5.62341325190349E-07,-0.000108024114878384
6.30957344480193E-07,-0.000108024117690398
7.07945784384138E-07,-0.000108024121232416
7.94328234724281E-07,-0.000108024125691522
8.91250938133746E-07,-0.000108024131304942
1E-06,-0.000108024138367764
1.12201845430196E-06,-0.00010802414726476
1.25892541179417E-06,-0.000108024158461706
1.41253754462275E-06,-0.000108024172560348
1.58489319246111E-06,-0.000108024190307088
1.77827941003892E-06,-0.000108024212649868
1.99526231496888E-06,-0.000108024240780615
2.23872113856834E-06,-0.000108024276192124
2.51188643150958E-06,-0.000108024320772573
2.81838293126445E-06,-0.000108024376896165
3.16227766016838E-06,-0.000108024447554282
3.54813389233575E-06,-0.000108024536503989
3.98107170553497E-06,-0.000108024648486945
4.46683592150963E-06,-0.000108024789465659
5.01187233627272E-06,-0.000108024966944622
5.62341325190349E-06,-0.000108025190380146
6.30957344480193E-06,-0.000108025471666394
