"Freq [GHz]","dB(St(microstrip_feed_T1,microstrip_feed_T1)) []"
0,-4.08220646161212E-09
1E-09,-4.08220742593959E-09
1.12201845430196E-09,-4.08220549728465E-09
1.25892541179417E-09,-4.08220742593959E-09
1.41253754462275E-09,-4.08220549728465E-09
1.58489319246111E-09,-4.08220549728465E-09
1.77827941003892E-09,-4.08220646161212E-09
1.99526231496888E-09,-4.08220646161212E-09
2.23872113856834E-09,-4.08220646161212E-09
2.51188643150958E-09,-4.08220646161212E-09
2.81838293126445E-09,-4.08220742593959E-09
3.16227766016838E-09,-4.08220549728465E-09
3.54813389233575E-09,-4.08220453295719E-09
3.98107170553497E-09,-4.08220646161212E-09
4.46683592150963E-09,-4.08220646161212E-09
5.01187233627272E-09,-4.08220742593959E-09
5.62341325190349E-09,-4.08220549728465E-09
6.30957344480193E-09,-4.08220646161212E-09
7.07945784384138E-09,-4.08220742593959E-09
7.94328234724282E-09,-4.08220646161212E-09
8.91250938133745E-09,-4.08220646161212E-09
1E-08,-4.08220646161212E-09
1.12201845430196E-08,-4.08220646161212E-09
1.25892541179417E-08,-4.08220646161212E-09
1.41253754462275E-08,-4.08220646161212E-09
1.58489319246111E-08,-4.08220742593959E-09
1.77827941003892E-08,-4.08220742593959E-09
1.99526231496888E-08,-4.08220646161212E-09
2.23872113856834E-08,-4.08220549728465E-09
2.51188643150958E-08,-4.08220742593959E-09
2.81838293126445E-08,-4.08220742593959E-09
3.16227766016838E-08,-4.08220646161212E-09
3.54813389233575E-08,-4.08220646161212E-09
3.98107170553497E-08,-4.08220646161212E-09
4.46683592150963E-08,-4.08220742593959E-09
5.01187233627272E-08,-4.08220742593959E-09
5.62341325190349E-08,-4.08220549728465E-09
6.30957344480193E-08,-4.08220742593959E-09
7.07945784384138E-08,-4.08220646161212E-09
7.94328234724281E-08,-4.08220549728465E-09
8.91250938133746E-08,-4.08220839026705E-09
1E-07,-4.08220646161212E-09
1.12201845430196E-07,-4.08220646161212E-09
1.25892541179417E-07,-4.08220742593959E-09
1.41253754462275E-07,-4.08220646161212E-09
1.58489319246111E-07,-4.08220839026705E-09
1.77827941003892E-07,-4.08220839026705E-09
1.99526231496888E-07,-4.08220742593959E-09
2.23872113856834E-07,-4.08220742593959E-09
2.51188643150958E-07,-4.08220742593959E-09
2.81838293126445E-07,-4.08220839026705E-09
3.16227766016838E-07,-4.08220742593959E-09
3.54813389233575E-07,-4.08220935459452E-09
3.98107170553497E-07,-4.08220935459452E-09
4.46683592150963E-07,-4.08220935459452E-09
5.01187233627272E-07,-4.08221128324946E-09
5.62341325190349E-07,-4.08221128324946E-09
6.30957344480193E-07,-4.08221224757692E-09
7.07945784384138E-07,-4.08221417623186E-09
7.94328234724281E-07,-4.08221610488679E-09
8.91250938133746E-07,-4.08221803354172E-09
1E-06,-4.08221996219666E-09
1.12201845430196E-06,-4.08222381950653E-09
1.25892541179417E-06,-4.0822305697988E-09
1.41253754462275E-06,-4.08223732009106E-09
1.58489319246111E-06,-4.08224310605587E-09
1.77827941003892E-06,-4.08225467798547E-09
1.99526231496888E-06,-4.08226432126014E-09
2.23872113856834E-06,-4.08228071482708E-09
2.51188643150958E-06,-4.08230000137642E-09
2.81838293126445E-06,-4.08232314523563E-09
3.16227766016838E-06,-4.08235400371457E-09
3.54813389233575E-06,-4.08239161248579E-09
3.98107170553497E-06,-4.08244175751407E-09
4.46683592150963E-06,-4.08250154581702E-09
5.01187233627272E-06,-4.08257772768692E-09
5.62341325190349E-06,-4.08267416043362E-09
6.30957344480193E-06,-4.08279470136699E-09
7.07945784384138E-06,-4.08294706510678E-09
7.94328234724281E-06,-4.08313703761778E-09
8.91250938133746E-06,-4.083379083812E-09
1E-05,-4.08368284696411E-09
1.12201845430196E-05,-4.08406761362344E-09
1.25892541179417E-05,-4.08454688437455E-09
1.41253754462276E-05,-4.08515441067876E-09
1.58489319246111E-05,-4.0859191223601E-09
1.77827941003892E-05,-4.0868805568447E-09
1.99526231496888E-05,-4.0880907878158E-09
2.23872113856834E-05,-4.08961442521367E-09
2.51188643150958E-05,-4.09153150821808E-09
2.81838293126445E-05,-4.09394618419547E-09
3.16227766016838E-05,-4.09698574437147E-09
3.54813389233575E-05,-4.10081219576056E-09
3.98107170553497E-05,-4.10562901145827E-09
4.46683592150963E-05,-4.11169270257083E-09
5.01187233627273E-05,-4.11932921178208E-09
