"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
0,-9.54272281584172E-05
1E-09,-9.54272281564886E-05
1.12201845430196E-09,-9.54272281574529E-05
1.25892541179417E-09,-9.54272281593816E-05
1.41253754462275E-09,-9.54272281584172E-05
1.58489319246111E-09,-9.54272281574529E-05
1.77827941003892E-09,-9.54272281584172E-05
1.99526231496888E-09,-9.54272281574529E-05
2.23872113856834E-09,-9.54272281584172E-05
2.51188643150958E-09,-9.54272281584172E-05
2.81838293126445E-09,-9.54272281593816E-05
3.16227766016838E-09,-9.54272281574529E-05
3.54813389233575E-09,-9.54272281584172E-05
3.98107170553497E-09,-9.54272281574529E-05
4.46683592150963E-09,-9.54272281574529E-05
5.01187233627272E-09,-9.54272281574529E-05
5.62341325190349E-09,-9.54272281584172E-05
6.30957344480193E-09,-9.54272281593816E-05
7.07945784384138E-09,-9.54272281584172E-05
7.94328234724282E-09,-9.54272281603459E-05
8.91250938133745E-09,-9.54272281613102E-05
1E-08,-9.54272281603459E-05
1.12201845430196E-08,-9.54272281622746E-05
1.25892541179417E-08,-9.54272281622746E-05
1.41253754462275E-08,-9.54272281661319E-05
1.58489319246111E-08,-9.54272281651676E-05
1.77827941003892E-08,-9.54272281670963E-05
1.99526231496888E-08,-9.54272281699893E-05
2.23872113856834E-08,-9.54272281728823E-05
2.51188643150958E-08,-9.54272281757753E-05
2.81838293126445E-08,-9.54272281815613E-05
3.16227766016838E-08,-9.5427228189276E-05
3.54813389233575E-08,-9.54272281940977E-05
3.98107170553497E-08,-9.54272282047054E-05
4.46683592150963E-08,-9.54272282162775E-05
5.01187233627272E-08,-9.54272282317069E-05
5.62341325190349E-08,-9.5427228249065E-05
6.30957344480193E-08,-9.54272282731735E-05
7.07945784384138E-08,-9.54272283021036E-05
7.94328234724281E-08,-9.54272283416414E-05
8.91250938133746E-08,-9.54272283879297E-05
1E-07,-9.5427228448683E-05
1.12201845430196E-07,-9.54272285210083E-05
1.25892541179417E-07,-9.54272286164778E-05
1.41253754462275E-07,-9.5427228734127E-05
1.58489319246111E-07,-9.54272288816708E-05
1.77827941003892E-07,-9.54272290716454E-05
1.99526231496888E-07,-9.54272293069438E-05
2.23872113856834E-07,-9.54272296029956E-05
2.51188643150958E-07,-9.54272299781231E-05
2.81838293126445E-07,-9.54272304487201E-05
3.16227766016838E-07,-9.54272310427524E-05
3.54813389233575E-07,-9.54272317901144E-05
3.98107170553497E-07,-9.54272327322726E-05
4.46683592150963E-07,-9.54272339116581E-05
5.01187233627272E-07,-9.54272354044534E-05
5.62341325190349E-07,-9.54272372791266E-05
6.30957344480193E-07,-9.54272396436835E-05
7.07945784384138E-07,-9.54272426157734E-05
7.94328234724281E-07,-9.54272463583694E-05
8.91250938133746E-07,-9.54272510710896E-05
1E-06,-9.54272570036973E-05
1.12201845430196E-06,-9.54272644744243E-05
1.25892541179417E-06,-9.54272738747917E-05
1.41253754462275E-06,-9.54272857139701E-05
1.58489319246111E-06,-9.54273006149218E-05
1.77827941003892E-06,-9.54273193770831E-05
1.99526231496888E-06,-9.54273429937222E-05
2.23872113856834E-06,-9.5427372728122E-05
2.51188643150958E-06,-9.54274101627612E-05
2.81838293126445E-06,-9.54274572880336E-05
3.16227766016838E-06,-9.54275166150754E-05
3.54813389233575E-06,-9.54275913040226E-05
3.98107170553497E-06,-9.54276853308409E-05
4.46683592150963E-06,-9.5427803706231E-05
5.01187233627272E-06,-9.54279527292489E-05
5.62341325190349E-06,-9.54281403383257E-05
6.30957344480193E-06,-9.54283765230393E-05
7.07945784384138E-06,-9.54286738651085E-05
7.94328234724281E-06,-9.54290481960711E-05
8.91250938133746E-06,-9.54295194497593E-05
1E-05,-9.54301127240354E-05
1.12201845430196E-05,-9.54308596096501E-05
1.25892541179417E-05,-9.54317998855484E-05
1.41253754462276E-05,-9.54329836230556E-05
1.58489319246111E-05,-9.54344738609508E-05
1.77827941003892E-05,-9.54363499575065E-05
1.99526231496888E-05,-9.54387118258607E-05
2.23872113856834E-05,-9.54416852436632E-05
2.51188643150958E-05,-9.54454285552244E-05
2.81838293126445E-05,-9.54501411104387E-05
3.16227766016838E-05,-9.54560738734671E-05
3.54813389233575E-05,-9.54635427855707E-05
3.98107170553497E-05,-9.54729456034183E-05
4.46683592150963E-05,-9.54847830749872E-05
5.01187233627273E-05,-9.54996856025482E-05
5.62341325190349E-05,-9.55184468334567E-05
6.30957344480193E-05,-9.5542065915523E-05
7.07945784384137E-05,-9.55718007159452E-05
7.94328234724282E-05,-9.56092348466747E-05
8.91250938133746E-05,-9.56563619880858E-05
0.0001,-9.57156921137387E-05
