"","","","","Tolerance","Minimum","Maximum"
"Substrate 1 Height","H1","200.0000","+/-","0.0000","200.0000","200.0000"
"Substrate 1 Dielectric","Er1","3.6000","+/-","0.0000","3.6000","3.6000"
"Substrate 2 Height","H2","200.0000","+/-","0.0000","200.0000","200.0000"
"Substrate 2 Dielectric","Er2","3.6000","+/-","0.0000","3.6000","3.6000"
"Lower Trace Width","W1","160.0000","+/-","0.0000","160.0000","160.0000"
"Upper Trace Width","W2","150.0000","+/-","0.0000","150.0000","150.0000"
"Trace Separation","S1","190.0000","+/-","0.0000","190.0000","190.0000"
"Lower Ground Strip Width","G1","2000.0000","+/-","0.0000","2000.0000","2000.0000"
"Upper Ground Strip Width","G2","2000.0000","+/-","0.0000","2000.0000","2000.0000"
"Ground Strip Separation","D1","250.0000","+/-","0.0000","250.0000","250.0000"
"Trace Thickness","T1","15.0000","+/-","0.0000","15.0000","15.0000"
"Differential Impedance","Zdiff","99.269","","--------","99.269","99.269"
"Delay (Odd Mode) (ps/m)","D","6328.933","","--------","6328.933","6328.933"
"Odd Mode Impedance","Zodd","49.634","","--------","49.634","49.634"
"Even Mode Impedance","Zeven","59.445","","--------","59.445","59.445"
"Common Mode Impedance","Zcommon","29.723","","--------","29.723","29.723"
"Effective Dielectric Constant","EEr","3.600","","--------","3.600","3.600"
"Velocity of Propagation (CITS)","Vp","0.527","","--------","0.527","0.527"
