"","","","","Tolerance","Minimum","Maximum"
"Substrate 1 Height","H1","125.0000","+/-","0.0000","125.0000","125.0000"
"Substrate 1 Dielectric","Er1","4.2000","+/-","0.0000","4.2000","4.2000"
"Lower Trace Width","W1","220.0000","+/-","0.0000","220.0000","220.0000"
"Upper Trace Width","W2","210.0000","+/-","0.0000","210.0000","210.0000"
"Trace Thickness","T1","40.0000","+/-","0.0000","40.0000","40.0000"
"Impedance","Zo","50.058","","--------","50.058","50.058"
"Delay (ps/m)","D","5791.114","","--------","5791.114","5791.114"
"Inductance (nH/m)","L","289.891","","--------","289.891","289.891"
"Capacitance (pF/m)","C","115.688","","--------","115.688","115.688"
"Effective Dielectric Constant","EEr","3.014","","--------","3.014","3.014"
"Velocity of Propagation (CITS)","Vp","0.576","","--------","0.576","0.576"
