"Freq [GHz]","dB(St(Diff1,Diff1)) []","dB(St(Diff2,Diff1)) []"
0,-63.4418198835248,-0.00328356298163
1E-09,-63.4418198835255,-0.00328356298359798
1.12201845430196E-09,-63.4418198893935,-0.00328356298458293
1.25892541179417E-09,-63.4418198879286,-0.00328356298458389
1.41253754462275E-09,-63.4418198849913,-0.00328356298260338
1.58489319246111E-09,-63.4418198864553,-0.00328356298457424
1.77827941003892E-09,-63.4418198849886,-0.00328356298358254
1.99526231496888E-09,-63.441819887926,-0.00328356298456556
2.23872113856834E-09,-63.441819884985,-0.00328356298455399
2.51188643150958E-09,-63.4418198864562,-0.00328356298257154
2.81838293126445E-09,-63.4418198820561,-0.00328356298157405
3.16227766016838E-09,-63.4418198908633,-0.00328356298551193
3.54813389233575E-09,-63.4418198849863,-0.00328356298252717
3.98107170553497E-09,-63.4418198864514,-0.00328356298447971
4.46683592150963E-09,-63.4418198864549,-0.00328356298346581
5.01187233627272E-09,-63.4418198791095,-0.00328356298145057
5.62341325190349E-09,-63.4418198791073,-0.0032835629784417
6.30957344480193E-09,-63.4418198835054,-0.003283562983324
7.07945784384138E-09,-63.4418198849659,-0.0032835629842366
7.94328234724282E-09,-63.441819883495,-0.00328356298414689
8.91250938133745E-09,-63.4418198893557,-0.003283562985018
1E-08,-63.4418198908062,-0.00328356298585439
1.12201845430196E-08,-63.4418198864036,-0.00328356298370409
1.25892541179417E-08,-63.441819881979,-0.00328356298149205
1.41253754462275E-08,-63.4418198863629,-0.00328356298614283
1.58489319246111E-08,-63.4418198863404,-0.00328356298380153
1.77827941003892E-08,-63.441819890711,-0.00328356298630394
1.99526231496888E-08,-63.4418198862654,-0.00328356298275966
2.23872113856834E-08,-63.4418198891566,-0.00328356298598366
2.51188643150958E-08,-63.4418198890932,-0.00328356298506238
2.81838293126445E-08,-63.4418198934206,-0.00328356298489452
3.16227766016838E-08,-63.4418198933148,-0.00328356298639655
3.54813389233575E-08,-63.4418198873261,-0.00328356298258891
3.98107170553497E-08,-63.4418198945042,-0.00328356298620361
4.46683592150963E-08,-63.4418198972435,-0.00328356298428484
5.01187233627272E-08,-63.4418198984679,-0.00328356298655572
5.62341325190349E-08,-63.441819901088,-0.00328356298688275
6.30957344480193E-08,-63.4418199036334,-0.00328356298701106
7.07945784384138E-08,-63.441819903144,-0.00328356298366261
7.94328234724281E-08,-63.4418199069221,-0.00328356298434465
8.91250938133746E-08,-63.4418199193463,-0.0032835629865972
1E-07,-63.4418199256993,-0.00328356298388256
1.12201845430196E-07,-63.4418199362018,-0.00328356298628368
1.25892541179417E-07,-63.4418199478518,-0.0032835629849225
1.41253754462275E-07,-63.4418199649681,-0.00328356298844845
1.58489319246111E-07,-63.4418199771733,-0.00328356298444691
1.77827941003892E-07,-63.4418200034079,-0.00328356298380731
1.99526231496888E-07,-63.4418200332459,-0.00328356298605698
2.23872113856834E-07,-63.4418200767383,-0.00328356298711331
2.51188643150958E-07,-63.4418201189625,-0.00328356298605891
2.81838293126445E-07,-63.4418201771876,-0.00328356298589491
3.16227766016838E-07,-63.4418202583304,-0.00328356299131937
3.54813389233575E-07,-63.4418203545385,-0.00328356299161553
3.98107170553497E-07,-63.4418204768985,-0.0032835629938131
4.46683592150963E-07,-63.4418206245649,-0.00328356299350536
5.01187233627272E-07,-63.4418208185099,-0.0032835629979333
5.62341325190349E-07,-63.4418210559517,-0.00328356299945944
