"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
0,-91.3498853592817,-0.000966327843728368
1E-09,-91.3498852133726,-0.000966327843728368
1.12201845430196E-09,-91.3498852133723,-0.000966327839778043
1.25892541179417E-09,-91.3498847756483,-0.000966327831877393
1.41253754462275E-09,-91.3498850674635,-0.000966327839778043
1.58489319246111E-09,-91.3498852133708,-0.000966327839778043
1.77827941003892E-09,-91.3498849215543,-0.000966327835827718
1.99526231496888E-09,-91.3498850674611,-0.000966327835827718
2.23872113856834E-09,-91.349884921552,-0.000966327835827718
2.51188643150958E-09,-91.3498846297347,-0.000966327823976744
2.81838293126445E-09,-91.3498850674564,-0.000966327835827718
3.16227766016838E-09,-91.349884921546,-0.000966327839778043
3.54813389233575E-09,-91.349884775635,-0.000966327835827718
3.98107170553497E-09,-91.3498850674468,-0.000966327839778043
4.46683592150963E-09,-91.349884921534,-0.000966327835827718
5.01187233627272E-09,-91.3498847756198,-0.000966327827927069
5.62341325190349E-09,-91.3498849215199,-0.000966327823976744
6.30957344480193E-09,-91.34988492151,-0.000966327827927069
7.07945784384138E-09,-91.3498850674054,-0.000966327839778043
7.94328234724282E-09,-91.3498853592054,-0.000966327843728368
8.91250938133745E-09,-91.34988506737,-0.000966327839778043
1E-08,-91.3498846296215,-0.000966327823976744
1.12201845430196E-08,-91.349884775498,-0.000966327831877393
1.25892541179417E-08,-91.3498847754586,-0.000966327827927069
1.41253754462275E-08,-91.3498849213169,-0.000966327831877393
1.58489319246111E-08,-91.349885504886,-0.000966327839778043
1.77827941003892E-08,-91.3498852129916,-0.000966327835827718
1.99526231496888E-08,-91.3498852128927,-0.000966327839778043
2.23872113856834E-08,-91.3498847750444,-0.000966327827927069
2.51188643150958E-08,-91.3498852126112,-0.000966327843728368
2.81838293126445E-08,-91.349884920598,-0.000966327835827718
3.16227766016838E-08,-91.3498850662573,-0.000966327835827718
3.54813389233575E-08,-91.3498847741286,-0.000966327827927069
3.98107170553497E-08,-91.3498849196425,-0.000966327831877393
4.46683592150963E-08,-91.3498847732387,-0.000966327827927069
5.01187233627272E-08,-91.34988506443,-0.000966327839778043
5.62341325190349E-08,-91.349884917736,-0.000966327831877393
6.30957344480193E-08,-91.3498849167464,-0.000966327827926104
7.07945784384138E-08,-91.3498849155005,-0.000966327835826754
7.94328234724281E-08,-91.3498847680242,-0.000966327835826754
8.91250938133746E-08,-91.3498849119575,-0.000966327835826754
1E-07,-91.3498849094717,-0.000966327839776114
1.12201845430196E-07,-91.3498847604343,-0.000966327835825789
1.25892541179417E-07,-91.3498850483103,-0.000966327847675799
1.41253754462275E-07,-91.349884313811,-0.000966327835823861
1.58489319246111E-07,-91.349884161659,-0.000966327835822896
1.77827941003892E-07,-91.3498844456139,-0.000966327847671941
1.99526231496888E-07,-91.3498838520862,-0.000966327839770328
2.23872113856834E-07,-91.3498838396275,-0.000966327843718723
2.51188643150958E-07,-91.3498835321273,-0.000966327847666155
2.81838293126445E-07,-91.3498829287502,-0.000966327839762612
3.16227766016838E-07,-91.3498826120762,-0.000966327847658439
3.54813389233575E-07,-91.3498818512423,-0.000966327851603942
3.98107170553497E-07,-91.3498803527665,-0.000966327835796856
4.46683592150963E-07,-91.349880011352,-0.000966327859490125
5.01187233627272E-07,-91.3498784898331,-0.000966327851578867
5.62341325190349E-07,-91.3498770980544,-0.000966327867367628
6.30957344480193E-07,-91.3498748104759,-0.000966327879203171
7.07945784384138E-07,-91.3498722054588,-0.000966327883133243
7.94328234724281E-07,-91.3498678172929,-0.000966327867305904
