"","","","","Tolerance","Minimum","Maximum"
"Substrate 1 Height","H1","150.0000","+/-","0.0000","150.0000","150.0000"
"Substrate 1 Dielectric","Er1","4.5000","+/-","0.0000","4.5000","4.5000"
"Lower Trace Width","W1","220.0000","+/-","0.0000","220.0000","220.0000"
"Upper Trace Width","W2","210.0000","+/-","0.0000","210.0000","210.0000"
"Trace Thickness","T1","50.0000","+/-","0.0000","50.0000","50.0000"
"Impedance","Zo","53.249","","--------","53.249","53.249"
"Delay (ps/m)","D","5895.830","","--------","5895.830","5895.830"
"Inductance (nH/m)","L","313.945","","--------","313.945","313.945"
"Capacitance (pF/m)","C","110.723","","--------","110.723","110.723"
"Effective Dielectric Constant","EEr","3.124","","--------","3.124","3.124"
"Velocity of Propagation (CITS)","Vp","0.566","","--------","0.566","0.566"
