"R_anti_pad [um]","Freq [GHz]","dB(St(Trace_out_L1_T1,Trace_out_L1_T1)) []","dB(St(Trace_out_L1_T2,Trace_out_L1_T1)) []"
300,0,-76.9672613186944,-0.00109896902165566
300,1E-09,-76.9672612351197,-0.0010989690098045
300,1.12201845430196E-09,-76.967261290835,-0.00109896902165566
300,1.25892541179417E-09,-76.9672612908347,-0.00109896901770527
300,1.41253754462275E-09,-76.9672612908342,-0.00109896901770527
300,1.58489319246111E-09,-76.9672612908335,-0.00109896902955643
300,1.77827941003892E-09,-76.9672612908328,-0.00109896901770527
300,1.99526231496888E-09,-76.9672612629739,-0.00109896901770527
300,2.23872113856834E-09,-76.9672612908305,-0.00109896902165566
300,2.51188643150958E-09,-76.9672612629711,-0.00109896901770527
300,2.81838293126445E-09,-76.967261290827,-0.00109896901770527
300,3.16227766016838E-09,-76.9672612351089,-0.00109896900585412
300,3.54813389233575E-09,-76.9672612908214,-0.00109896901770527
300,3.98107170553497E-09,-76.967261207244,-0.0010989690098045
300,4.46683592150963E-09,-76.9672612629548,-0.00109896902165566
300,5.01187233627272E-09,-76.9672613186642,-0.00109896902165566
300,5.62341325190349E-09,-76.9672612072251,-0.0010989690098045
300,6.30957344480193E-09,-76.9672612072152,-0.0010989690098045
300,7.07945784384138E-09,-76.9672613464921,-0.00109896903350681
300,7.94328234724282E-09,-76.967261262903,-0.00109896901375489
300,8.91250938133745E-09,-76.967261318599,-0.00109896902165566
300,1E-08,-76.9672612907165,-0.0010989690098045
300,1.12201845430196E-08,-76.9672612906854,-0.00109896901770527
300,1.25892541179417E-08,-76.9672612906462,-0.00109896902165566
300,1.41253754462275E-08,-76.9672612348813,-0.00109896901375489
300,1.58489319246111E-08,-76.9672612348192,-0.00109896901770527
300,1.77827941003892E-08,-76.9672613183147,-0.00109896901770527
300,1.99526231496888E-08,-76.9672612346428,-0.00109896901770527
300,2.23872113856834E-08,-76.9672612902347,-0.00109896901375489
300,2.51188643150958E-08,-76.9672613457946,-0.00109896902560604
300,2.81838293126445E-08,-76.9672613177405,-0.00109896902165469
300,3.16227766016838E-08,-76.9672611782043,-0.00109896900980354
300,3.54813389233575E-08,-76.9672612893248,-0.00109896902560508
300,3.98107170553497E-08,-76.9672612889333,-0.00109896901375392
300,4.46683592150963E-08,-76.9672613162983,-0.00109896901770431
300,5.01187233627272E-08,-76.9672612042466,-0.00109896900980354
300,5.62341325190349E-08,-76.9672612034655,-0.00109896900980354
300,6.30957344480193E-08,-76.9672613139136,-0.00109896902165373
300,7.07945784384138E-08,-76.9672613126758,-0.00109896902165373
300,7.94328234724281E-08,-76.9672613111174,-0.00109896901770238
300,8.91250938133746E-08,-76.9672611977241,-0.001098969013752
300,1E-07,-76.9672613066857,-0.00109896901770142
300,1.12201845430196E-07,-76.9672612478606,-0.00109896901770045
300,1.25892541179417E-07,-76.967261271804,-0.00109896902164987
300,1.41253754462275E-07,-76.9672613225917,-0.00109896901769756
300,1.58489319246111E-07,-76.9672612885298,-0.00109896902164601
300,1.77827941003892E-07,-76.9672612250037,-0.0010989690176937
300,1.99526231496888E-07,-76.9672613266024,-0.00109896902954196
300,2.23872113856834E-07,-76.9672612585081,-0.00109896901768695
300,2.51188643150958E-07,-76.9672612707822,-0.0010989690255829
300,2.81838293126445E-07,-76.9672613068791,-0.00109896902557711
300,3.16227766016838E-07,-76.9672613378962,-0.00109896902952074
300,3.54813389233575E-07,-76.9672613068025,-0.00109896902161033
300,3.98107170553497E-07,-76.9672612676579,-0.00109896902949953
300,4.46683592150963E-07,-76.9672613019513,-0.00109896902553467
300,5.01187233627272E-07,-76.9672613234847,-0.00109896903341808
300,5.62341325190349E-07,-76.9672613289545,-0.00109896903734532
300,6.30957344480193E-07,-76.9672612863434,-0.00109896904126677
300,7.07945784384138E-07,-76.9672613575622,-0.00109896905703167
300,7.94328234724281E-07,-76.9672613688719,-0.00109896905698537
300,8.91250938133746E-07,-76.9672615069783,-0.00109896908457924
300,1E-06,-76.9672614828557,-0.00109896908845632
300,1.12201845430196E-06,-76.9672615897872,-0.00109896910811663
300,1.25892541179417E-06,-76.9672615604939,-0.00109896911985205
300,1.41253754462275E-06,-76.9672616527088,-0.00109896914735815
300,1.58489319246111E-06,-76.9672618123307,-0.00109896918667875
300,1.77827941003892E-06,-76.9672618948905,-0.00109896922990152
300,1.99526231496888E-06,-76.9672620816587,-0.00109896928491565
300,2.23872113856834E-06,-76.9672624038476,-0.00109896937145763
300,2.51188643150958E-06,-76.9672626562506,-0.00109896945000432
300,2.81838293126445E-06,-76.9672629787445,-0.00109896956398489
300,3.16227766016838E-06,-76.967263378291,-0.00109896969756693
300,3.54813389233575E-06,-76.9672640298062,-0.00109896988626437
300,3.98107170553497E-06,-76.9672647398644,-0.00109897010632667
300,4.46683592150963E-06,-76.9672656621841,-0.00109897039719595
300,5.01187233627272E-06,-76.967266701518,-0.00109897074299353
300,5.62341325190349E-06,-76.9672681404171,-0.00109897119497506
300,6.30957344480193E-06,-76.9672698973461,-0.00109897174511826
300,7.07945784384138E-06,-76.9672722010076,-0.00109897246437286
300,7.94328234724281E-06,-76.9672750053251,-0.00109897336044674
300,8.91250938133746E-06,-76.9672784836986,-0.00109897446864645
300,1E-05,-76.9672830127484,-0.00109897588347263
300,1.12201845430196E-05,-76.9672885875515,-0.00109897765589064
