"Freq [GHz]","dB(St(sma_cpw_Unnamed_4_T1,sma_cpw_Unnamed_4_T1)) []","dB(St(micro_line_T1,sma_cpw_Unnamed_4_T1)) []"
0,-76.9537440509793,-0.00113839893356202
1E-09,-76.9537439869108,-0.00113839892688704
1.12201845430196E-09,-76.9537440420518,-0.00113839893443099
1.25892541179417E-09,-76.9537440405029,-0.00113839893199575
1.41253754462275E-09,-76.9537440057042,-0.00113839892802606
1.58489319246111E-09,-76.9537440263557,-0.00113839892955568
1.77827941003892E-09,-76.9537440400311,-0.00113839893297177
1.99526231496888E-09,-76.9537440711147,-0.00113839893666853
2.23872113856834E-09,-76.9537440612621,-0.00113839893308944
2.51188643150958E-09,-76.9537440010573,-0.0011383989283125
2.81838293126445E-09,-76.9537440528157,-0.00113839893281264
3.16227766016838E-09,-76.9537440084539,-0.00113839892750621
3.54813389233575E-09,-76.9537440579975,-0.00113839893265254
3.98107170553497E-09,-76.9537440106406,-0.00113839893121261
4.46683592150963E-09,-76.9537440339329,-0.00113839893142961
5.01187233627272E-09,-76.9537440443805,-0.00113839893233041
5.62341325190349E-09,-76.9537440108697,-0.00113839892705099
6.30957344480193E-09,-76.9537440366615,-0.00113839893295056
7.07945784384138E-09,-76.9537440211738,-0.00113839893246351
7.94328234724282E-09,-76.953744013344,-0.00113839893035232
8.91250938133745E-09,-76.9537440208356,-0.00113839893154824
1E-08,-76.9537440377911,-0.001138398935055
1.12201845430196E-08,-76.9537440086552,-0.0011383989291265
1.25892541179417E-08,-76.9537440268517,-0.00113839893301807
1.41253754462275E-08,-76.953744027186,-0.00113839893631747
1.58489319246111E-08,-76.9537440077224,-0.00113839893409343
1.77827941003892E-08,-76.9537440050763,-0.00113839893590468
1.99526231496888E-08,-76.9537439616877,-0.00113839893229955
2.23872113856834E-08,-76.9537438968919,-0.00113839892428976
2.51188643150958E-08,-76.9537439774587,-0.00113839893526718
2.81838293126445E-08,-76.9537439286707,-0.00113839893652386
3.16227766016838E-08,-76.9537439064624,-0.00113839893417734
3.54813389233575E-08,-76.9537438876004,-0.00113839894014538
3.98107170553497E-08,-76.9537437823638,-0.00113839893283386
4.46683592150963E-08,-76.9537436936806,-0.00113839892976304
5.01187233627272E-08,-76.9537436671638,-0.00113839893721441
5.62341325190349E-08,-76.953743547877,-0.00113839893032917
6.30957344480193E-08,-76.9537434411615,-0.00113839893437313
7.07945784384138E-08,-76.9537432994613,-0.00113839893583042
7.94328234724281E-08,-76.95374303509,-0.00113839892847742
8.91250938133746E-08,-76.9537427941021,-0.00113839893020572
1E-07,-76.9537425154695,-0.00113839893517266
1.12201845430196E-07,-76.9537421422917,-0.0011383989397895
1.25892541179417E-07,-76.9537416205466,-0.00113839893629335
1.41253754462275E-07,-76.9537409767585,-0.00113839892952289
1.58489319246111E-07,-76.9537401944722,-0.00113839893348294
1.77827941003892E-07,-76.9537392077688,-0.0011383989348785
1.99526231496888E-07,-76.9537379526024,-0.00113839893799851
2.23872113856834E-07,-76.9537363682342,-0.00113839893806795
2.51188643150958E-07,-76.9537343802095,-0.0011383989388588
2.81838293126445E-07,-76.9537318862734,-0.00113839894004508
3.16227766016838E-07,-76.9537288171695,-0.00113839895316165
3.54813389233575E-07,-76.9537248368196,-0.0011383989570214
3.98107170553497E-07,-76.9537197909231,-0.0011383989522242
4.46683592150963E-07,-76.953713602242,-0.00113839896577864
5.01187233627272E-07,-76.9537057223199,-0.00113839897541064
5.62341325190349E-07,-76.9536957523993,-0.00113839898131888
6.30957344480193E-07,-76.9536832649577,-0.00113839899345943
7.07945784384138E-07,-76.953667595887,-0.00113839902014972
7.94328234724281E-07,-76.9536477508935,-0.0011383990351547
8.91250938133746E-07,-76.9536228783185,-0.00113839907124167
1E-06,-76.9535914293262,-0.00113839909577834
1.12201845430196E-06,-76.9535519554376,-0.00113839914114721
1.25892541179417E-06,-76.9535022579,-0.00113839920070031
1.41253754462275E-06,-76.9534396134278,-0.00113839926835771
1.58489319246111E-06,-76.9533608641934,-0.00113839936145741
1.77827941003892E-06,-76.9532616258576,-0.00113839946978679
1.99526231496888E-06,-76.9531367183371,-0.00113839960476404
2.23872113856834E-06,-76.9529795008777,-0.00113839978088682
2.51188643150958E-06,-76.9527815643884,-0.00113839999945907
2.81838293126445E-06,-76.9525323807863,-0.00113840027591977
3.16227766016838E-06,-76.9522186995584,-0.00113840062147491
3.54813389233575E-06,-76.9518238570677,-0.00113840106364132
3.98107170553497E-06,-76.9513268519299,-0.00113840162234462
4.46683592150963E-06,-76.9507011449276,-0.00113840231175842
5.01187233627272E-06,-76.9499136585432,-0.00113840319255845
5.62341325190349E-06,-76.9489223718909,-0.00113840428621634
6.30957344480193E-06,-76.9476748037978,-0.00113840567575132
7.07945784384138E-06,-76.9461047532726,-0.001138407426617
7.94328234724281E-06,-76.944128900236,-0.00113840962182394
8.91250938133746E-06,-76.9416427621033,-0.00113841238770692
1E-05,-76.9385150087617,-0.00113841587961533
1.12201845430196E-05,-76.9345805020415,-0.00113842026447685
