"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
0,-57.2802465375032,-0.0114164824002574
1E-09,-57.2802465375316,-0.0114164824003607
1.12201845430196E-09,-57.2802465379236,-0.0114164824011622
1.25892541179417E-09,-57.2802465375759,-0.0114164824004399
1.41253754462275E-09,-57.2802465373277,-0.0114164824001473
1.58489319246111E-09,-57.2802465377803,-0.0114164824010444
1.77827941003892E-09,-57.280246537245,-0.0114164824004399
1.99526231496888E-09,-57.2802465373654,-0.0114164824001483
2.23872113856834E-09,-57.2802465374122,-0.011416482400268
2.51188643150958E-09,-57.2802465374754,-0.0114164824007412
2.81838293126445E-09,-57.2802465372011,-0.0114164824001937
3.16227766016838E-09,-57.2802465375173,-0.0114164824005645
3.54813389233575E-09,-57.2802465375715,-0.0114164824003511
3.98107170553497E-09,-57.2802465377507,-0.0114164824005075
4.46683592150963E-09,-57.2802465373438,-0.0114164824000643
5.01187233627272E-09,-57.2802465380098,-0.011416482401167
5.62341325190349E-09,-57.2802465375298,-0.0114164824006494
6.30957344480193E-09,-57.2802465373929,-0.0114164824004013
7.07945784384138E-09,-57.2802465376656,-0.0114164824004496
7.94328234724282E-09,-57.2802465374642,-0.0114164824001676
8.91250938133745E-09,-57.2802465377262,-0.0114164824006543
1E-08,-57.2802465382673,-0.0114164824011023
1.12201845430196E-08,-57.2802465377423,-0.0114164824007614
1.25892541179417E-08,-57.2802465371491,-0.011416482400158
1.41253754462275E-08,-57.2802465374308,-0.0114164824003337
1.58489319246111E-08,-57.2802465373145,-0.0114164824003897
1.77827941003892E-08,-57.2802465369281,-0.0114164824000064
1.99526231496888E-08,-57.2802465373575,-0.0114164823999378
2.23872113856834E-08,-57.280246537676,-0.0114164824007277
2.51188643150958E-08,-57.2802465374118,-0.0114164824004882
2.81838293126445E-08,-57.2802465376514,-0.0114164824008078
3.16227766016838E-08,-57.2802465377888,-0.0114164824007711
3.54813389233575E-08,-57.2802465374129,-0.0114164824007035
3.98107170553497E-08,-57.280246537344,-0.0114164824006147
4.46683592150963E-08,-57.2802465376148,-0.0114164824012085
5.01187233627272E-08,-57.2802465380101,-0.0114164824018777
5.62341325190349E-08,-57.2802465381822,-0.0114164824021712
6.30957344480193E-08,-57.2802465377029,-0.01141648240184
7.07945784384138E-08,-57.2802465376931,-0.0114164824023054
7.94328234724281E-08,-57.2802465374247,-0.0114164824024059
8.91250938133746E-08,-57.2802465372778,-0.0114164824027158
1E-07,-57.280246537712,-0.0114164824042521
1.12201845430196E-07,-57.2802465372885,-0.0114164824044278
1.25892541179417E-07,-57.2802465375485,-0.0114164824057256
1.41253754462275E-07,-57.2802465377625,-0.0114164824070233
1.58489319246111E-07,-57.2802465376767,-0.0114164824090492
1.77827941003892E-07,-57.2802465375127,-0.0114164824108104
1.99526231496888E-07,-57.2802465366624,-0.0114164824122965
2.23872113856834E-07,-57.2802465376967,-0.0114164824170124
2.51188643150958E-07,-57.2802465372211,-0.0114164824209212
2.81838293126445E-07,-57.2802465372843,-0.0114164824260388
3.16227766016838E-07,-57.2802465373936,-0.0114164824329988
3.54813389233575E-07,-57.2802465368431,-0.0114164824409032
3.98107170553497E-07,-57.2802465368965,-0.0114164824518222
4.46683592150963E-07,-57.2802465370392,-0.0114164824655693
5.01187233627272E-07,-57.2802465366496,-0.011416482482195
5.62341325190349E-07,-57.2802465363289,-0.0114164825029698
6.30957344480193E-07,-57.280246535968,-0.0114164825294358
7.07945784384138E-07,-57.2802465357618,-0.011416482562998
7.94328234724281E-07,-57.2802465358539,-0.0114164826058163
8.91250938133746E-07,-57.2802465348243,-0.0114164826587319
1E-06,-57.2802465338293,-0.0114164827250153
1.12201845430196E-06,-57.2802465336511,-0.0114164828100968
1.25892541179417E-06,-57.2802465323572,-0.0114164829161047
1.41253754462275E-06,-57.2802465316358,-0.0114164830505804
1.58489319246111E-06,-57.2802465293066,-0.0114164832172857
1.77827941003892E-06,-57.2802465269657,-0.0114164834287685
1.99526231496888E-06,-57.2802465245865,-0.0114164836956119
2.23872113856834E-06,-57.2802465215478,-0.0114164840312906
2.51188643150958E-06,-57.2802465173771,-0.0114164844538295
2.81838293126445E-06,-57.2802465123354,-0.0114164849852462
3.16227766016838E-06,-57.280246505479,-0.0114164856543461
3.54813389233575E-06,-57.2802464972342,-0.0114164864967521
3.98107170553497E-06,-57.2802464868781,-0.0114164875575441
4.46683592150963E-06,-57.280246473797,-0.0114164888927023
5.01187233627272E-06,-57.280246457369,-0.0114164905743502
5.62341325190349E-06,-57.2802464367287,-0.011416492691079
6.30957344480193E-06,-57.2802464106326,-0.0114164953548836
7.07945784384138E-06,-57.280246378377,-0.0114164987099871
7.94328234724281E-06,-57.2802463365097,-0.0114165029318751
8.91250938133746E-06,-57.2802462854742,-0.0114165082492508
1E-05,-57.2802462208266,-0.0114165149419468
1.12201845430196E-05,-57.2802461385866,-0.0114165233671321
1.25892541179417E-05,-57.280246036776,-0.0114165339745379
1.41253754462276E-05,-57.280245909498,-0.0114165473295417
1.58489319246111E-05,-57.2802457489716,-0.0114165641408126
1.77827941003892E-05,-57.2802455489111,-0.0114165853053196
1.99526231496888E-05,-57.2802452993047,-0.0114166119498339
2.23872113856834E-05,-57.2802449898291,-0.0114166454941492
2.51188643150958E-05,-57.2802446057462,-0.0114166877234939
2.81838293126445E-05,-57.280244132146,-0.0114167408870362
3.16227766016838E-05,-57.2802435499667,-0.011416807814258
3.54813389233575E-05,-57.280242842426,-0.0114168920718504
3.98107170553497E-05,-57.2802419911331,-0.0114169981472969
4.46683592150963E-05,-57.2802409798558,-0.0114171316870166
5.01187233627273E-05,-57.2802398044708,-0.0114172998043743
5.62341325190349E-05,-57.2802384782191,-0.0114175114510009
6.30957344480193E-05,-57.2802370525444,-0.0114177778985008
7.07945784384137E-05,-57.2802356439607,-0.0114181133364191
7.94328234724282E-05,-57.2802344813167,-0.0114185356272701
8.91250938133746E-05,-57.2802339866021,-0.0114190672614937
0.0001,-57.2802348958186,-0.0114197365504623
0.000112201845430196,-57.2802384645851,-0.0114205791356375
0.000125892541179417,-57.2802467910514,-0.0114216398893229
0.000141253754462276,-57.2802633338048,-0.0114229753024239
0.000158489319246111,-57.2802937311452,-0.0114246564925734
0.000177827941003892,-57.280347104685,-0.0114267729930235
0.000199526231496888,-57.2804381097125,-0.0114294375214586
